#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2043197.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2026534.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2026105.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2065487.00       	 7.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2031700.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
5000     	 1000000      	 2023180.00       	 7.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2529327.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2563404.00       	 6.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2541498.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2632288.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2624817.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2633500.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2559351.00       	 4.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2527548.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2546664.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
10000    	 1000000      	 2549138.00       	 5.000000   	 0.00           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9439070.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9397180.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9446908.00       	 49.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9401315.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9529321.00       	 12.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9263751.00       	 10.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9359402.00       	 9.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9349061.00       	 8.000000   	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9414155.00       	 12.000000  	 0.01           
#bytes   	 #repetitions 	 exec_time[µsec] 	 MBytes/sec 	 spawn_time
50000    	 1000000      	 9494354.00       	 21.000000  	 0.01           
